道具ID	道具名称	类型	质量
300214	黄金成就礼包.二	4	4
300215	黄金成就礼包.三	4	4
300216	黄金成就礼包.四	4	4
300217	钻石成就礼包.一	4	4
300218	钻石成就礼包.二	4	4
300219	钻石成就礼包.三	4	4
300220	钻石成就礼包.四	4	4
300301	至尊专属礼包	4	6
300302	国民礼包	4	2
300311	定时上线礼包	4	4
300321	防沉迷大礼包	4	4
300401	点赞榜第五名	4	4
300402	点赞榜第四名	4	4
300403	点赞榜第三名	4	4
300404	点赞榜第二名	4	5
300405	点赞榜第一名	4	6
300501	20級禮包	4	4
300502	40级礼包	4	4
300503	60级礼包	4	4
300504	70級禮包	4	4
300505	80级礼包	4	4
300506	90级礼包	4	4
300507	100级礼包	4	4
300508	110级礼包	4	4
300509	120级礼包	4	4
300510	130级礼包	4	4
300511	140级礼包	4	4
300512	150级礼包	4	4
300513	160级礼包	4	4
300514	170级礼包	4	4
300515	180级礼包	4	4
300516	190级礼包	4	4
300517	200级礼包	4	4
300551	妖兽宝盒.10层	4	2
300552	妖兽宝盒.20层	4	2
300553	妖兽宝盒.30层	4	3
300554	妖兽宝盒.40层	4	3
300555	妖灵宝盒.50层	4	4
300556	妖灵宝盒.60层	4	4
300557	妖灵宝盒.70层	4	5
300558	妖灵宝盒.80层	4	5
300559	天妖宝盒.90层	4	6
300560	天妖宝盒.100层	4	6
300561	天妖宝盒.110层	4	7
300562	天妖宝盒.120层	4	7
300563	妖神宝盒.130层	4	7
300564	妖神宝盒.140层	4	7
300565	妖神宝盒.150层	4	7
300566	妖神宝盒.160层	4	7
300567	妖帝宝盒.170层	4	7
300568	妖帝宝盒.180层	4	7
300569	妖帝宝盒.190层	4	7
300570	妖帝宝盒.200层	4	7
300601	今日提升5000战力	4	4
300602	今日提升10000战力	4	4
300603	今日提升30000战力	4	4
300701	战力10000领取	4	4
300702	戰力20000領取	4	4
300703	战力30000领取	4	4
300704	戰力40000領取	4	4
300705	战力50000领取	4	4
300706	戰力70000領取	4	4
300707	战力90000领取	4	4
300708	戰力12萬領取	4	4
300709	战力15万领取	4	4
300710	战力20万领取	4	4
300711	战力30万领取	4	4
300712	战力40万领取	4	4
300713	战力50万领取	4	4
300714	战力70万领取	4	4
300715	战力100万领取	4	4
300716	战力120万领取	4	4
300717	战力150万领取	4	4
300718	战力200万领取	4	4
300801	VIP1每日礼包	4	5
300802	VIP2每日礼包	4	5
300803	VIP3每日礼包	4	5
300804	VIP4每日礼包	4	5
300805	VIP5每日礼包	4	5
300806	VIP6每日礼包	4	5
300807	VIP7每日礼包	4	5
300808	VIP8每日礼包	4	5
300809	VIP9每日礼包	4	5
300810	VIP10每日礼包	4	5
300901	VIP1大礼包	4	5
300902	VIP2大礼包	4	5
300903	VIP3大礼包	4	5
300904	VIP4大礼包	4	5
300905	VIP5大礼包	4	5
300906	VIP6大礼包	4	5
300907	VIP7大礼包	4	5
300908	VIP8大礼包	4	5
300909	VIP9大礼包	4	5
300910	VIP10大礼包	4	5
301201	30级成长礼包	4	4
301202	50级成长礼包	4	4
301203	60级成长礼包	4	4
301204	70级成长礼包	4	4
301205	73级成长礼包	4	4
301206	75级成长礼包	4	4
301207	77级成长礼包	4	4
301208	79级成长礼包	4	4
301209	80级成长礼包	4	4
301210	83级成长礼包	4	4
301211	85级成长礼包	4	4
301212	87级成长礼包	4	4
301213	90级成长礼包	4	4
301214	92级成长礼包	4	4
301215	94级成长礼包	4	4
301216	95级成长礼包	4	4
301217	97级成长礼包	4	4
301218	98级成长礼包	4	4
301219	100级成长礼包	4	4
301220	101级成长礼包	4	4
301221	103级成长礼包	4	4
301222	105级成长礼包	4	4
301223	107级成长礼包	4	4
301224	109级成长礼包	4	4
301225	110级成长礼包	4	4
301226	120级成长礼包	4	4
301227	130级成长礼包	4	4
301228	140级成长礼包	4	4
301229	150级成长礼包	4	4
301230	160级成长礼包	4	4
301231	170级成长礼包	4	4
301232	180级成长礼包	4	4
301233	190级成长礼包	4	4
301234	200级成长礼包	4	4
301702	散财仙子	4	3
301703	鹊桥仙子	4	3
301704	文曲仙子	4	4
301705	百花仙子	4	4
301706	莹雪仙子	4	4
301707	锦鲤仙子	4	5
302003	3阶背饰多选礼包	4	4
302004	4阶背饰多选礼包	4	4
302005	5阶背饰多选礼包	4	4
302006	6阶背饰多选礼包	4	4
302007	7阶背饰多选礼包	4	4
302008	8阶背饰多选礼包	4	4
302009	9阶背饰多选礼包	4	4
303003	3阶坐骑多选礼包	4	4
303004	4阶坐骑多选礼包	4	4
303005	5阶坐骑多选礼包	4	4
303006	6阶坐骑多选礼包	4	4
303007	7阶坐骑多选礼包	4	4
303008	8阶坐骑多选礼包	4	4
303009	9阶坐骑多选礼包	4	4
304003	1级仙子多选礼包	4	4
304004	2级仙子多选礼包	4	4
304005	3级仙子多选礼包	4	4
304006	4级仙子多选礼包	4	4
304007	5级仙子多选礼包	4	4
304008	6级仙子多选礼包	4	4
304009	7级仙子多选礼包	4	4
305003	1级神器多选礼包	4	4
305004	2级神器多选礼包	4	4
305005	3级神器多选礼包	4	4
305006	4级神器多选礼包	4	4
305007	5级神器多选礼包	4	4
305008	6级神器多选礼包	4	4
305009	7级神器多选礼包	4	4
306001	60级多选礼包	4	4
306002	70级多选礼包	4	4
306003	80级多选礼包	4	4
306004	90级多选礼包	4	4
306005	100级多选礼包	4	4
306006	110级多选礼包	4	4
306007	120级多选礼包	4	4
306008	130级多选礼包	4	4
306009	140级多选礼包	4	4
306010	150级多选礼包	4	4
306011	160级多选礼包	4	4
306012	170级多选礼包	4	4
306013	180级多选礼包	4	4
306014	190级多选礼包	4	4
306015	200级多选礼包	4	4
307001	vip1多选礼包	4	4
307002	vip2多选礼包	4	4
307003	vip3多选礼包	4	4
307004	vip4多选礼包	4	4
307005	vip5多选礼包	4	4
307006	vip6多选礼包	4	4
307007	vip7多选礼包	4	4
307008	vip8多选礼包	4	4
307009	vip9多选礼包	4	4
307010	vip10多选礼包	4	4
308001	战斗力5000多选礼包	4	4
308002	战斗力10000多选礼包	4	4
308003	战斗力20000多选礼包	4	4
308004	战斗力30000多选礼包	4	4
308005	战斗力50000多选礼包	4	4
308006	战斗力70000多选礼包	4	4
308007	战斗力100000多选礼包	4	4
308008	战斗力150000多选礼包	4	4
308009	战斗力300000多选礼包	4	4
308010	战斗力500000多选礼包	4	4
309001	全身强化50多选礼包	4	4
309002	全身强化100多选礼包	4	4
309003	全身强化150多选礼包	4	4
309004	全身强化200多选礼包	4	4
309005	全身强化250多选礼包	4	4
309006	全身强化300多选礼包	4	4
309007	全身强化350多选礼包	4	4
309008	全身强化400多选礼包	4	4
309009	全身强化450多选礼包	4	4
310200	喜糖	4	4
310201	红包	4	4
310202	誓约之戒	3	4
310301	一阶魔兵礼包【神装】	4	6
310302	三阶魔兵礼包【超神装】	4	7
310309	500绑定元宝	4	5
310310	一千绑定元宝	4	5
310311	一百绑定元宝	4	5
310312	30绑定元宝	4	5
310313	40绑定元宝	4	5
310314	50绑定元宝	4	5
310315	60绑定元宝	4	5
310316	70绑定元宝	4	5
310317	80绑定元宝	4	5
310318	10绑定元宝	4	5
310321	神族变身宝箱	4	6
310322	神族变身宝箱	4	6
310323	超神法宝寶箱	4	6
310401	一阶礼包【坐骑1折】	4	4
310402	二阶礼包【武器2折】	4	4
310403	三阶礼包【战宠3折】	4	5
310404	四阶礼包【背饰三阶】	4	5
310405	五阶礼包【坐骑四阶】	4	6
310501	一阶.每日礼包	4	4
310502	二阶.每日礼包	4	4
310503	三阶.每日礼包	4	5
310504	四阶.每日礼包	4	5
310505	五阶.每日礼包	4	6
310601	强化石打折礼包	4	4
310602	首充回馈礼包	4	4
310603	天天首充回馈礼包	4	4
311001	限时强化礼包（+10）	4	4
311002	限时强化礼包（+15）	4	4
311003	限时强化礼包（+20）	4	4
311004	限时强化礼包（+25）	4	4
311005	限时强化礼包（+30）	4	4
311006	限时强化礼包（+35）	4	4
311007	限时强化礼包（+40）	4	4
311008	限时强化礼包（+45）	4	4
311009	限时强化礼包（+49）	4	4
311101	四阶.坐骑限时礼包	4	4
311102	五阶.坐骑限时礼包	4	4
311103	六阶.坐骑限时礼包	4	4
311104	七阶.坐骑限时礼包	4	4
311105	八阶.坐骑限时礼包	4	4
311106	九阶.坐骑限时礼包	4	4
311107	九阶.坐骑限时礼包	4	4
311201	四阶.背饰限时礼包	4	4
311202	五阶.背饰限时礼包	4	4
311203	六阶.背饰限时礼包	4	4
311204	七阶.背饰限时礼包	4	4
311205	八阶.背饰限时礼包	4	4
311206	九阶.背饰限时礼包	4	4
311207	九阶.背饰限时礼包	4	4
311301	四阶.瑶池限时礼包	4	4
311302	五阶.瑶池限时礼包	4	4
311303	六阶.瑶池限时礼包	4	4
311304	七阶.瑶池限时礼包	4	4
311305	八阶.瑶池限时礼包	4	4
311306	九阶.瑶池限时礼包	4	4
311307	九阶.瑶池限时礼包	4	4
311401	四阶.神器限时礼包	4	4
311402	五阶.神器限时礼包	4	4
311403	六阶.神器限时礼包	4	4
311404	七阶.神器限时礼包	4	4
311405	八阶.神器限时礼包	4	4
311406	九阶.神器限时礼包	4	4
311407	九阶.神器限时礼包	4	4
311501	2阶.宝石礼包	4	4
311502	3阶.宝石礼包	4	4
311503	4阶.宝石礼包	4	4
311504	5阶.宝石礼包	4	4
311505	6阶.宝石礼包	4	4
311506	7阶.宝石礼包	4	4
311507	8阶.宝石礼包	4	4
311601	限时宝石礼包（2天）	4	4
311602	限时宝石礼包（3天）	4	4
311603	限时宝石礼包（4天）	4	4
311604	限时宝石礼包（5天）	4	4
311605	限时宝石礼包（6天）	4	4
311606	限时宝石礼包（7天）	4	4
311701	1阶洗炼石礼包	4	4
311702	2阶洗炼石礼包	4	4
311703	3阶洗炼石礼包	4	4
311704	4阶洗炼石礼包	4	4
311705	5阶洗炼石礼包	4	4
311801	低级洗炼石礼包（限时3天）	4	4
311802	初级洗炼石礼包（限时3天）	4	4
311803	中级洗炼石礼包（限时3天）	4	4
311804	高级洗炼石礼包（限时3天）	4	4
311805	超级洗炼石礼包（限时3天）	4	4
312102	星轮4阶以上可领	4	5
312103	星轮5阶以上可领	4	6
312104	星轮6阶以上可领	4	6
312105	星轮7阶以上可领	4	5
314000	10绑定元宝	4	5
314001	一千元宝	4	6
314002	金砖	4	5
314003	两万铜钱	4	3
314004	五万铜钱	4	3
314005	一百元宝	4	5
314006	1绑定元宝	4	5
314007	2绑定元宝	4	5
314008	3绑定元宝	4	5
314009	5绑定元宝	4	5
314010	铜钱（500万）	4	5
314011	1绑定元宝	4	5
314012	1绑定元宝	4	5
314013	20绑定元宝	4	5
314014	30绑定元宝	4	5
314015	40绑定元宝	4	5
314016	16绑定元宝	4	5
314017	24绑定元宝	4	5
314018	32绑定元宝	4	5
314019	一元宝	4	6
314020	一万绑定铜钱	4	6
314021	5千元宝	4	5
314022	2万元宝	4	5
314023	6万元宝	4	5
314024	12万元宝	4	5
314025	20万元宝	4	5
314026	30万元宝	4	5
314027	70万元宝	4	5
314028	120万元宝	4	5
314029	180万元宝	4	5
314030	300万元宝	4	5
314031	650万元宝	4	5
314098	1500元宝	4	6
314099	一千元宝	4	6
315000	复活丹	4	4
316001	筋斗云	4	3
317301	漫天火雨	4	4
317302	五行神雷	4	4
317303	伐木工	4	4
317321	万剑归宗	4	3
317322	毒刃索命	4	3
317323	回春剑意	4	3
317324	怒剑式	4	3
317325	同生共死	4	3
317326	一剑退敌	4	3
317327	七星剑牢	4	3
317328	迷魂剑阵	4	3
317329	八卦剑阵	4	3
317330	嘲天式	4	3
317331	水月式	4	3
317332	剑灵助战	4	3
317333	长虹贯日	4	3
317334	踏剑行	4	3
317335	剑魂加持	4	3
317336	碧血剑	4	3
317337	剑刃护体	4	3
317338	剑锋钉足	4	3
317350	插一根闪电伤害图腾	4	3
317351	插一根回血图腾	4	3
317352	插一根怒气图腾	4	3
317353	持续免疫眩晕	4	3
317354	增加自身攻击力	4	3
317355	释放减速陷阱	4	3
317356	释放伤害陷阱	4	3
317357	全屏火雨	4	3
317358	增加自身攻击力	4	3
317359	增加自身闪避率	4	3
317401	50级经验玉	4	4
317402	80级经验玉(小)	4	4
317403	80级经验玉(中)	4	5
317404	80级经验玉(大)	4	6
317405	100级经验玉(小)	4	4
317406	100级经验玉(中)	4	5
317407	100级经验玉(大)	4	6
321001	黄金VIP卡(永久)	4	6
321002	白银VIP卡（24小时）	4	4
321003	白银VIP卡（72小时）	4	4
321004	黄金vip（体验）	4	6
321005	白银Vip（7天）	4	5
321006	VIP3升级卡	4	6
322024	坐骑2阶	4	3
322025	坐骑3阶	4	3
322026	坐骑4阶	4	4
322027	坐骑5阶	4	4
322028	坐骑6阶	4	5
322029	坐骑7阶	4	5
322030	坐骑8阶	4	6
322031	坐骑9阶	4	6
322032	坐骑10阶	4	7
322033	使用50个背饰升阶丹	4	3
322034	背饰3阶	4	3
322035	背饰4阶	4	4
322036	背饰5阶	4	4
322037	背饰6阶	4	5
322038	背饰7阶	4	5
322039	背饰8阶	4	6
322040	背饰9阶	4	6
322041	背饰10阶	4	7
322042	充值排行第1名	4	7
322043	充值排行第2~3名	4	6
322044	充值排行第4~10名	4	5
322045	成为黄金VIP	4	4
322046	首届王城城主	4	7
322047	所有王族帮派成员	4	4
322048	王城争霸战	4	6
323001	背饰之心礼包(5)	4	4
323002	背饰之心礼包(15)	4	4
323003	背饰之心礼包(30)	4	4
323004	背饰之心礼包(50)	4	5
323005	背饰之心礼包(70)	4	5
323006	背饰之心礼包(80)	4	5
323007	背饰之心礼包(90)	4	6
323008	背饰之心礼包(100)	4	6
324001	全民大礼盒	4	5
324002	乾坤宝盒.魔族	4	6
324003	灭天宝盒.神族	4	7
324004	至尊魔兵宝盒	4	7
324005	神装法宝礼盒	4	6
324011	高级疯抢礼盒.珍品	4	3
324012	高级疯抢礼盒.稀世	4	4
324013	高级疯抢礼盒.英雄	4	5
324014	疯抢礼包.普通	4	2
324015	疯抢礼包.珍品	4	3
324016	疯抢礼包.稀有	4	4
324050	英雄礼盒.史诗	4	5
324051	英雄礼盒.稀有	4	4
331101	金花种子	4	6
331102	橙花种子	4	5
331103	紫花种子	4	4
331104	蓝花种子	4	3
331105	绿花种子	4	2
331202	【仙.火神祝融】	4	6
331203	【神·三界神王】	4	7
331204	【神·六合神王】	4	7
331205	【神·九五至尊】	4	7
331206	【神·齐天大圣】	4	7
331207	【魔·痛苦女王】	4	4
331208	【凡·典韦】	4	3
331209	【仙·鸿蒙天帝】	4	6
331210	【魔·骷髅王】	4	3
331211	【魔·刑天】	4	4
331212	【仙·哪咤】	4	3
331213	【凡·张角】	4	3
331214	【神·恐怖利刃】	4	7
331215	【神·火神祝融】（2小时）	4	7
331216	【神·葫芦小金刚】	4	7
331217	【神·太阳女神】	4	7
331218	【仙·雷震子】	4	3
331219	【魔·魑魅】	4	3
331220	【魔·牛魔王】	4	6
331221	【凡·貂蝉】	4	2
331222	【凡·孙尚香】	4	2
331223	【凡·孟获】	4	4
331224	【凡·张飞】	4	5
331225	【凡·烛龙】	4	7
331226	【凡·马超】	4	5
331227	【凡·吕布】	4	6
331228	【凡·赵云】	4	6
331229	【凡·诸葛亮】	4	7
331230	【魔·牛头马面】	4	3
331231	【魔·不朽尸王】	4	4
331232	【魔·孟婆】	4	7
331233	【魔·阎罗王】	4	5
331234	【魔·天妖皇】	4	5
331235	【魔·混沌魔】	4	6
331236	【魔·天鬼皇】	4	6
331237	【凡·典韦】（临时变身)	4	3
331238	【仙·嫦娥】	4	4
331239	【仙·盘丝大仙】	4	5
331240	【仙·东海龙王】	4	7
331241	【仙·潮汐海皇】	4	7
331242	【仙·九天玄女】	4	7
331243	【神·红孩儿】	4	7
331244	【仙·木德星君】	4	7
331245	【仙·巨灵神】	4	7
331246	【仙·水神共工】	4	7
331247	【仙·神武大帝】	4	6
331250	【神·斗战神】	4	7
331255	【神·火神祝融】（2分钟）	4	7
331256	【神·六道神王】	4	7
331301	【神·太阳女神】礼盒	4	7
331400	属性丹礼包	4	4
331401	力量丹	4	4
331402	敏捷丹	4	4
331403	智力丹	4	4
331404	攻击丹	4	4
331405	生命丹	4	4
331406	防御丹	4	4
331407	天命丹	4	4
331501	易容丹	4	5
331601	帮派改名令	4	5
331602	人物改名令	4	5
331701	武器经验+5000	4	4
331998	【神·红孩儿】（1分钟）	4	7
331999	神·红孩儿(40小时)	4	7
332001	多选大礼包	4	4
332002	1级白银多选礼包	4	4
332003	2级白银多选礼包	4	4
332004	随机多选礼包	4	4
332011	坐骑多选礼包	4	4
333001	新手卡	4	4
333002	特权卡	4	4
333003	VIP认证礼包	4	4
333004	VIP新游礼包	4	4
333005	VIP节日礼包	4	4
333006	一测独家礼包1	4	4
333007	一测独家礼包2	4	4
333008	一测独家礼包3	4	4
333009	一测独家礼包4	4	4
333010	一测独家礼包5	4	4
333011	一测普通礼包	4	4
333012	四测独家礼包1	4	4
333013	四测独家礼包2	4	4
333014	四测独家礼包3	4	4
333015	四测独家礼包4	4	4
333016	四测独家礼包5	4	4
333017	四测普通礼包	4	4
333018	正式独家礼包1	4	4
333019	正式独家礼包2	4	4
333020	正式独家礼包3	4	4
333021	正式独家礼包4	4	4
333022	正式独家礼包5	4	4
333023	正式普通礼包	4	4
333024	等级礼包	4	4
333025	YY平台特权卡	4	4
333026	YY平台公民卡	4	4
333027	YY平台皇室卡	4	4
333100	【仙.魔尊蚩尤】(1天)	4	6
333101	【神.火神祝融】(3天)	4	6
333102	【神·三界神王】(1天)	4	7
333103	【神·六合神王】(1天)	4	7
333104	【神·九五至尊】(1天)	4	7
333105	【神·齐天大圣】(3天)	4	7
333106	【魔·痛苦女王】(1天)	4	4
333107	【凡·典韦】(1天)	4	3
333108	【魔·鸿蒙天帝】(1天)	4	6
333109	【魔·骷髅王】(1天)	4	3
333110	【魔·刑天】(1天)	4	4
333111	【仙·哪咤】(1天)	4	3
333112	【凡·张角】(1天)	4	3
333113	【神·恐怖利刃】(3天)	4	7
333114	【神·葫芦小金刚】(1天)	4	7
333115	【神·太阳女神】(3天)	4	7
333116	【仙·雷震子】(1天)	4	3
333117	【魔·魑魅】(1天)	4	3
333118	【魔·牛魔王】(1天)	4	6
333119	【凡·貂蝉】(1天)	4	2
333120	【凡·孙尚香】(1天)	4	2
333121	【凡·孟获】(1天)	4	4
333122	【凡·张飞】(1天)	4	5
333123	【凡·烛龙】(1天)	4	7
333124	【凡·马超】(1天)	4	5
333125	【凡·吕布】(1天)	4	6
333126	【凡·赵云】(1天)	4	7
333127	【凡·诸葛亮】(1天)	4	7
333128	【魔·牛头马面】(1天)	4	3
333129	【魔·不朽尸王】(1天)	4	4
333130	【魔·孟婆】(1天)	4	7
333131	【魔·阎罗王】(1天)	4	5
333132	【魔·天妖皇】(1天)	4	5
333133	【魔·混沌魔】(1天)	4	6
333134	【魔·天鬼皇】(1天)	4	6
333135	【凡·典韦】(1天)	4	3
333136	【仙·嫦娥】(1天)	4	4
333137	【仙·盘丝大仙】(1天)	4	5
333138	【仙·东海龙王】(1天)	4	7
333139	【仙·潮汐海皇】(1天)	4	7
333140	【仙·九天玄女】(1天)	4	7
333141	【神·红孩儿】(3天)	4	7
333142	【仙·木德星君】(1天)	4	7
333143	【仙·巨灵神】(1天)	4	7
333144	【仙·水神共工】(1天)	4	7
333145	【仙·神武大帝】(3天)	4	6
333146	【神·斗战神】(7天)	4	7
333147	【仙·神武大帝】(1天)	4	6
333200	【仙·嫦娥】(36小时)	4	4
333300	【凡·吕布】(1天)	4	6
334100	属性丹多选礼包	4	4
334110	[免费领取$ff00baff$songti_14_strengh]	4	4
334111	[元宝领取$ff00baff$songti_14_strengh]	4	4
334112	[元宝领取$ff00baff$songti_14_strengh]	4	4
334113	[元宝领取$ff00baff$songti_14_strengh]	4	4
334114	半神血阳铁宝箱	4	5
334115	斗战神称号	4	6
334116	大战神称号	4	6
334117	战神称号	4	6
334118	仙族变身	4	5
334119	战宠进阶丹	3	4
334120	战宠进阶丹（时效）	3	4
334121	中阶战宠进阶丹	3	4
334122	中阶战宠进阶丹（时效）	3	4
334123	高阶战宠进阶丹	3	4
334124	高阶战宠进阶丹（时效）	3	4
341000	各等级元宝宝箱	4	6
341001	40级元宝宝箱	4	6
341002	60级元宝宝箱	4	6
341003	100级元宝宝箱	4	6
341004	140级元宝宝箱	4	6
341005	160级元宝宝箱	4	6
341006	橙色魔兵宝箱	4	5
341007	金色魔兵宝箱	4	6
341008	红色魔兵宝箱	4	7
341009	橙色法宝宝箱	4	5
341010	金色法宝宝箱	4	6
341011	红色法宝宝箱	4	7
341012	打折礼包	4	4
341013	正常礼包	4	4
341014	多选礼包	4	4
341015	多选礼包（条件）	4	4
341016	有开启条件礼包	4	4
341017	开启有概率获得礼包	4	4
341018	坐骑魔丹（有使用条件的道具）	3	4
341019	坐骑魔丹（参考，无用)	3	4
341101	绑定铜钱(8万)	4	5
341102	绑定铜钱(10万)	4	5
341103	绑定铜钱(15万)	4	5
341104	绑定铜钱(20万)	4	5
341105	绑定铜钱(50万)	4	5
341106	100绑定元宝	4	5
341107	80级元宝宝箱	4	6
341108	120级元宝宝箱	4	6
341209	高級元寶寶箱	4	6
397970	游戏收藏礼包	4	4
398904	单笔充值100元	4	4
398905	单笔充值300元	4	4
398906	单笔充值500元	4	4
398907	单笔充值1000元	4	5
398908	单笔充值2000元	4	5
398909	单笔充值100元	4	4
398910	单笔充值300元	4	4
398911	单笔充值500元	4	4
398912	单笔充值1000元	4	5
398913	单笔充值2000元	4	5
398914	单笔充值100元	4	4
398915	单笔充值300元	4	4
398916	单笔充值500元	4	4
398917	单笔充值1000元	4	5
398918	单笔充值2000元	4	5
398919	单笔充值100元	4	4
398920	单笔充值300元	4	4
398921	单笔充值500元	4	4
398922	单笔充值1000元	4	5
398923	单笔充值2000元	4	5
398924	单笔充值100元	4	4
398925	单笔充值300元	4	4
398926	单笔充值500元	4	4
398927	单笔充值1000元	4	5
398928	单笔充值2000元	4	5
398929	单笔充值100元	4	4
398930	单笔充值300元	4	4
398931	单笔充值500元	4	4
398932	单笔充值1000元	4	5
398933	单笔充值2000元	4	5
398934	单笔充值100元	4	4
398935	单笔充值300元	4	4
398936	单笔充值500元	4	4
398937	单笔充值1000元	4	5
398938	单笔充值2000元	4	5
398939	单笔充值50元	4	4
398940	单笔充值300元	4	4
